1,101,5.0
1,102,3.0
1,103,4.0
2,101,4.0
2,102,2.0
2,104,3.0
3,101,2.0
3,103,4.0
3,104,4.5
4,102,4.0
4,103,3.5
4,105,5.0
5,101,3.0
5,102,4.5
5,106,4.0
6,104,3.0
6,105,4.0
6,106,2.5
7,103,4.5
7,104,3.5
7,106,4.0
8,101,4.5
8,103,4.0
8,107,3.0
9,105,4.5
9,106,4.0
9,107,5.0
10,101,2.5
10,102,3.5
10,108,4.5
11,104,5.0
11,105,4.5
11,108,3.5
12,101,4.0
12,102,3.0
12,109,5.0
13,103,2.0
13,104,2.5
13,109,4.0
14,106,3.5
14,107,3.0
14,110,4.0
15,105,3.5
15,108,2.5
15,110,4.0
16,101,4.5
16,104,3.0
16,111,4.0
17,103,5.0
17,105,4.5
17,111,3.5
